id,func_name,input_text,target_text
31,showsyntaxerror,"Summarize Python: def showsyntaxerror(self, filename=None):",Display the syntax error that just occurred.
32,showtraceback,Summarize Python: def showtraceback(self):,Display the exception that just occurred.
33,write,"Summarize Python: def write(self, data):",Write a string.
34,resetbuffer,Summarize Python: def resetbuffer(self):,Reset the input buffer.
35,interact,"Summarize Python: def interact(self, banner=None, exitmsg=None):",Closely emulate the interactive Python console.
36,push,"Summarize Python: def push(self, line):",Push a line to the interpreter.
37,raw_input,"Summarize Python: def raw_input(self, prompt=''):",Write a prompt and read a line.
38,bin,"Summarize Python: def bin(num, max_bits=None):","Like built-in bin(), except negative values are represented in twos-compliment, and the leading bit always indicates sign (0=positive, 1=negative)."
39,unique,Summarize Python: def unique(enumeration):,Class decorator for enumerations ensuring unique member values.
40,global_enum_repr,Summarize Python: def global_enum_repr(self):,use module.enum_name instead of class.enum_name.
41,global_flag_repr,Summarize Python: def global_flag_repr(self):,use module.flag_name instead of class.flag_name.
42,global_str,Summarize Python: def global_str(self):,use enum_name instead of class.enum_name.
43,global_enum,"Summarize Python: def global_enum(cls, update_str=False):",decorator that makes the repr() of an enum member reference its module instead of its class; also exports all members to the enum's module's global namespace.
44,name,Summarize Python: @property:,The name of the Enum member.
45,value,Summarize Python: @property:,The value of the Enum member.
46,input,"Summarize Python: def input(files=None, inplace=False, backup='', *, mode='r', openhook=None, encoding=None, errors=None):","Return an instance of the FileInput class, which can be iterated."
47,close,Summarize Python: def close():,Close the sequence.
48,nextfile,Summarize Python: def nextfile():,Close the current file so that the next iteration will read the first line from the next file (if any); lines not read from the file will not count towards the cumulative line count.
49,filename,Summarize Python: def filename():,"Return the name of the file currently being read. Before the first line has been read, returns None."
50,lineno,Summarize Python: def lineno():,Return the cumulative line number of the line that has just been read.
51,filelineno,Summarize Python: def filelineno():,"Return the line number in the current file. Before the first line has been read, returns 0. After the last line of the last file has been read, returns the line number of that line within the file."
52,fileno,Summarize Python: def fileno():,"Return the file number of the current file. When no file is currently opened, returns -1."
53,isfirstline,Summarize Python: def isfirstline():,"Returns true the line just read is the first line of its file, otherwise returns false."
54,isstdin,Summarize Python: def isstdin():,"Returns true if the last line was read from sys.stdin, otherwise returns false."
55,open,"Summarize Python: def open(filename, flag='c', protocol=None, writeback=False):",Open a persistent dictionary for reading and writing.
56,server_activate,Summarize Python: def server_activate(self):,Called by constructor to activate the server.
57,serve_forever,"Summarize Python: def serve_forever(self, poll_interval=0.5):",Handle one request at a time until shutdown.
58,shutdown,Summarize Python: def shutdown(self):,Stops the serve_forever loop.
59,service_actions,Summarize Python: def service_actions(self):,Called by the serve_forever() loop.
60,handle_request,Summarize Python: def handle_request(self):,"Handle one request, possibly blocking."
61,handle_timeout,Summarize Python: def handle_timeout(self):,Called if no new request arrives within self.timeout.
62,verify_request,"Summarize Python: def verify_request(self, request, client_address):",Verify the request.  May be overridden.
63,process_request,"Summarize Python: def process_request(self, request, client_address):",Call finish_request.
64,server_close,Summarize Python: def server_close(self):,Called to clean-up the server.
65,finish_request,"Summarize Python: def finish_request(self, request, client_address):",Finish one request by instantiating RequestHandlerClass.
66,shutdown_request,"Summarize Python: def shutdown_request(self, request):",Called to shutdown and close an individual request.
67,close_request,"Summarize Python: def close_request(self, request):",Called to clean up an individual request.
68,handle_error,"Summarize Python: def handle_error(self, request, client_address):",Handle an error gracefully.  May be overridden.
69,server_bind,Summarize Python: def server_bind(self):,Called by constructor to bind the socket.
70,fileno,Summarize Python: def fileno(self):,Return socket file number.
71,get_request,Summarize Python: def get_request(self):,Get the request and client address from the socket.
72,process_request_thread,"Summarize Python: def process_request_thread(self, request, client_address):",Same as in BaseServer but as a thread.
73,process_request,"Summarize Python: def process_request(self, request, client_address):",Start a new thread to process the request.
74,collect_children,"Summarize Python: def collect_children(self, *, blocking=False):",Internal routine to wait for children that have exited.
75,handle_timeout,Summarize Python: def handle_timeout(self):,Wait for zombies after self.timeout seconds of inactivity.
76,service_actions,Summarize Python: def service_actions(self):,Collect the zombie child processes regularly in the ForkingMixIn.
77,process_request,"Summarize Python: def process_request(self, request, client_address):",Fork a new subprocess to process the request.
78,real,Summarize Python: @property:,Retrieve the real component of this number.
79,imag,Summarize Python: @property:,Retrieve the imaginary component of this number.
80,conjugate,Summarize Python: @abstractmethod:,(x+y*i).conjugate() returns (x-y*i).
81,real,Summarize Python: @property:,Real numbers are their real component.
82,imag,Summarize Python: @property:,Real numbers have no imaginary component.
83,conjugate,Summarize Python: def conjugate(self):,Conjugate is a no-op for Reals.
84,numerator,Summarize Python: @property:,Integers are their own numerators.
85,denominator,Summarize Python: @property:,Integers have a denominator of 1.
86,NoReturn,Summarize Python: @_SpecialForm:,Special type indicating functions that never return.
87,Never,Summarize Python: @_SpecialForm:,"The bottom type, a type that has no members."
88,Self,Summarize Python: @_SpecialForm:,"Used to spell the type of ""self"" in classes."
89,LiteralString,Summarize Python: @_SpecialForm:,Represents an arbitrary literal string.
90,ClassVar,Summarize Python: @_SpecialForm:,Special type construct to mark class variables.
91,Final,Summarize Python: @_SpecialForm:,Special typing construct to indicate final names to type checkers.
92,Union,Summarize Python: @_SpecialForm:,"Union type; Union[X, Y] means either X or Y."
93,Optional,Summarize Python: @_SpecialForm:,"Optional[X] is equivalent to Union[X, None]."
94,Literal,Summarize Python: @_LiteralSpecialForm:,Special typing form to define literal types (a.k.a. value types).
95,TypeAlias,Summarize Python: @_SpecialForm:,Special form for marking type aliases.
96,Concatenate,Summarize Python: @_SpecialForm:,Special form for annotating higher-order functions.
97,TypeGuard,Summarize Python: @_SpecialForm:,Special typing construct for marking user-defined type guard functions.
98,Unpack,Summarize Python: @_SpecialForm:,Type unpack operator.
99,runtime_checkable,Summarize Python: def runtime_checkable(cls):,Mark a protocol class as a runtime protocol.
100,cast,"Summarize Python: def cast(typ, val):",Cast a value to a type.
101,assert_type,"Summarize Python: def assert_type(val, typ, /):",Ask a static type checker to confirm that the value is of the given type.
102,get_type_hints,"Summarize Python: def get_type_hints(obj, globalns=None, localns=None, include_extras=False):",Return type hints for an object.
103,get_origin,Summarize Python: def get_origin(tp):,Get the unsubscripted version of a type.
104,get_args,Summarize Python: def get_args(tp):,Get type arguments with all substitutions performed.
105,is_typeddict,Summarize Python: def is_typeddict(tp):,Check if an annotation is a TypedDict class.
106,assert_never,"Summarize Python: def assert_never(arg: Never, /) -> Never:",Statically assert that a line of code is unreachable.
107,no_type_check,Summarize Python: def no_type_check(arg):,Decorator to indicate that annotations are not type hints.
108,no_type_check_decorator,Summarize Python: def no_type_check_decorator(decorator):,Decorator to give another decorator the @no_type_check effect.
109,overload,Summarize Python: def overload(func):,Decorator for overloaded functions/methods.
110,get_overloads,Summarize Python: def get_overloads(func):,Return all defined overloads for *func* as a sequence.
111,clear_overloads,Summarize Python: def clear_overloads():,Clear all overloads in the registry.
112,final,Summarize Python: def final(f):,Decorator to indicate final methods and final classes.
113,NamedTuple,"Summarize Python: def NamedTuple(typename, fields=None, /, **kwargs):",Typed version of namedtuple.
114,TypedDict,"Summarize Python: def TypedDict(typename, fields=None, /, *, total=True, **kwargs):",A simple typed namespace. At runtime it is equivalent to a plain dict.
115,Required,Summarize Python: @_SpecialForm:,Special typing construct to mark a TypedDict key as required.
116,NotRequired,Summarize Python: @_SpecialForm:,Special typing construct to mark a TypedDict key as potentially missing.
117,reveal_type,"Summarize Python: def reveal_type[T](obj: T, /) -> T:",Ask a static type checker to reveal the inferred type of an expression.
118,dataclass_transform,"Summarize Python: def dataclass_transform(*, eq_default: bool=True, order_default: bool=False, kw_only_default: bool=False, frozen_default: bool=False, field_specifiers: tuple[type[Any] | Callable[..., Any], ...]=(), **kwargs: Any) -> _IdentityCallable:",Decorator to mark an object as providing dataclass-like behaviour.
119,override,"Summarize Python: def override[F: _Func](method: F, /) -> F:",Indicate that a method is intended to override a method in a base class.
120,itervaluerefs,Summarize Python: def itervaluerefs(self):,Return an iterator that yields the weak references to the values.
121,valuerefs,Summarize Python: def valuerefs(self):,Return a list of weak references to the values.
122,keyrefs,Summarize Python: def keyrefs(self):,Return a list of weak references to the keys.
123,detach,Summarize Python: def detach(self):,"If alive then mark as dead and return (obj, func, args, kwargs); otherwise return None."
124,peek,Summarize Python: def peek(self):,"If alive then return (obj, func, args, kwargs); otherwise return None."
125,alive,Summarize Python: @property:,Whether finalizer is alive.
126,atexit,Summarize Python: @property:,Whether finalizer should be called at exit.
127,add,"Summarize Python: def add(self, message):",Add message and return assigned key.
128,remove,"Summarize Python: def remove(self, key):",Remove the keyed message; raise KeyError if it doesn't exist.
129,discard,"Summarize Python: def discard(self, key):","If the keyed message exists, remove it."
130,get,"Summarize Python: def get(self, key, default=None):","Return the keyed message, or default if it doesn't exist."
131,get_message,"Summarize Python: def get_message(self, key):",Return a Message representation or raise a KeyError.
132,get_string,"Summarize Python: def get_string(self, key):",Return a string representation or raise a KeyError.
133,get_bytes,"Summarize Python: def get_bytes(self, key):",Return a byte string representation or raise a KeyError.
134,get_file,"Summarize Python: def get_file(self, key):",Return a file-like representation or raise a KeyError.
135,iterkeys,Summarize Python: def iterkeys(self):,Return an iterator over keys.
136,keys,Summarize Python: def keys(self):,Return a list of keys.
137,itervalues,Summarize Python: def itervalues(self):,Return an iterator over all messages.
138,values,Summarize Python: def values(self):,Return a list of messages. Memory intensive.
139,iteritems,Summarize Python: def iteritems(self):,"Return an iterator over (key, message) tuples."
140,items,Summarize Python: def items(self):,"Return a list of (key, message) tuples. Memory intensive."
141,clear,Summarize Python: def clear(self):,Delete all messages.
142,pop,"Summarize Python: def pop(self, key, default=None):","Delete the keyed message and return it, or default."
143,popitem,Summarize Python: def popitem(self):,"Delete an arbitrary (key, message) pair and return it."
144,update,"Summarize Python: def update(self, arg=None):",Change the messages that correspond to certain keys.
145,flush,Summarize Python: def flush(self):,Write any pending changes to the disk.
146,lock,Summarize Python: def lock(self):,Lock the mailbox.
147,unlock,Summarize Python: def unlock(self):,Unlock the mailbox if it is locked.
148,close,Summarize Python: def close(self):,Flush and close the mailbox.
149,get_bytes,"Summarize Python: def get_bytes(self, key):",Return a bytes representation or raise a KeyError.
150,flush,Summarize Python: def flush(self):,Write any pending changes to disk.
151,list_folders,Summarize Python: def list_folders(self):,Return a list of folder names.
152,get_folder,"Summarize Python: def get_folder(self, folder):",Return a Maildir instance for the named folder.
153,add_folder,"Summarize Python: def add_folder(self, folder):",Create a folder and return a Maildir instance representing it.
154,remove_folder,"Summarize Python: def remove_folder(self, folder):","Delete the named folder, which must be empty."
155,clean,Summarize Python: def clean(self):,"Delete old files in ""tmp""."
156,next,Summarize Python: def next(self):,Return the next message in a one-time iteration.
157,get_bytes,"Summarize Python: def get_bytes(self, key, from_=False):",Return a string representation or raise a KeyError.
158,get_folder,"Summarize Python: def get_folder(self, folder):",Return an MH instance for the named folder.
159,add_folder,"Summarize Python: def add_folder(self, folder):",Create a folder and return an MH instance representing it.
160,get_sequences,Summarize Python: def get_sequences(self):,Return a name-to-key-list dictionary to define each sequence.
161,set_sequences,"Summarize Python: def set_sequences(self, sequences):",Set sequences using the given name-to-key-list dictionary.
162,pack,Summarize Python: def pack(self):,Re-name messages to eliminate numbering gaps. Invalidates keys.
163,get_labels,Summarize Python: def get_labels(self):,Return a list of user-defined labels in the mailbox.
164,get_subdir,Summarize Python: def get_subdir(self):,Return 'new' or 'cur'.
165,set_subdir,"Summarize Python: def set_subdir(self, subdir):",Set subdir to 'new' or 'cur'.
166,get_flags,Summarize Python: def get_flags(self):,Return as a string the flags that are set.
167,set_flags,"Summarize Python: def set_flags(self, flags):",Set the given flags and unset all others.
168,add_flag,"Summarize Python: def add_flag(self, flag):",Set the given flag(s) without changing others.
169,remove_flag,"Summarize Python: def remove_flag(self, flag):",Unset the given string flag(s) without changing others.
170,get_date,Summarize Python: def get_date(self):,"Return delivery date of message, in seconds since the epoch."
171,set_date,"Summarize Python: def set_date(self, date):","Set delivery date of message, in seconds since the epoch."
172,get_info,Summarize Python: def get_info(self):,"Get the message's ""info"" as a string."
173,set_info,"Summarize Python: def set_info(self, info):","Set the message's ""info"" string."
174,get_from,Summarize Python: def get_from(self):,"Return contents of ""From "" line."
175,set_from,"Summarize Python: def set_from(self, from_, time_=None):","Set ""From "" line, formatting and appending time_ if specified."
176,get_sequences,Summarize Python: def get_sequences(self):,Return a list of sequences that include the message.
177,set_sequences,"Summarize Python: def set_sequences(self, sequences):",Set the list of sequences that include the message.
178,add_sequence,"Summarize Python: def add_sequence(self, sequence):",Add sequence to list of sequences including the message.
179,remove_sequence,"Summarize Python: def remove_sequence(self, sequence):",Remove sequence from the list of sequences including the message.
180,get_labels,Summarize Python: def get_labels(self):,Return a list of labels on the message.
181,set_labels,"Summarize Python: def set_labels(self, labels):",Set the list of labels on the message.
182,add_label,"Summarize Python: def add_label(self, label):",Add label to list of labels on the message.
183,remove_label,"Summarize Python: def remove_label(self, label):",Remove label from the list of labels on the message.
184,get_visible,Summarize Python: def get_visible(self):,Return a Message representation of visible headers.
185,set_visible,"Summarize Python: def set_visible(self, visible):",Set the Message representation of visible headers.
186,update_visible,Summarize Python: def update_visible(self):,Update and/or sensibly generate a set of visible headers.
187,read,"Summarize Python: def read(self, size=None):",Read bytes.
188,read1,"Summarize Python: def read1(self, size=None):",Read bytes.
189,readline,"Summarize Python: def readline(self, size=None):",Read a line.
190,readlines,"Summarize Python: def readlines(self, sizehint=None):",Read multiple lines.
191,tell,Summarize Python: def tell(self):,Return the position.
192,seek,"Summarize Python: def seek(self, offset, whence=0):",Change position.
193,close,Summarize Python: def close(self):,Close the file.
194,tell,Summarize Python: def tell(self):,Return the position with respect to start.
195,seek,"Summarize Python: def seek(self, offset, whence=0):","Change position, possibly with respect to start or stop."
196,libc_ver,"Summarize Python: def libc_ver(executable=None, lib='', version='', chunksize=16384):",Tries to determine the libc version that the file executable (which defaults to the Python interpreter) is linked against.
197,mac_ver,"Summarize Python: def mac_ver(release='', versioninfo=('', '', ''), machine=''):","Get macOS version information and return it as tuple (release, versioninfo, machine) with versioninfo being a tuple (version, dev_stage, non_release_version)."
198,java_ver,"Summarize Python: def java_ver(release='', vendor='', vminfo=('', '', ''), osinfo=('', '', '')):",Version interface for Jython.
199,system_alias,"Summarize Python: def system_alias(system, release, version):","Returns (system, release, version) aliased to common marketing names used for some systems."
200,architecture,"Summarize Python: def architecture(executable=sys.executable, bits='', linkage=''):",Queries the given executable (defaults to the Python interpreter binary) for various architecture information.
201,uname,Summarize Python: def uname():,"Fairly portable uname interface. Returns a tuple of strings (system, node, release, version, machine, processor) identifying the underlying platform."
202,system,Summarize Python: def system():,"Returns the system/OS name, e.g. 'Linux', 'Windows' or 'Java'."
203,node,Summarize Python: def node():,Returns the computer's network name (which may not be fully qualified).
204,release,Summarize Python: def release():,"Returns the system's release, e.g. '2.2.0' or 'NT'."
205,version,Summarize Python: def version():,"Returns the system's release version, e.g. '#3 on degas'."
206,machine,Summarize Python: def machine():,"Returns the machine type, e.g. 'i386'."
207,processor,Summarize Python: def processor():,"Returns the (true) processor name, e.g. 'amdk6'."
208,python_implementation,Summarize Python: def python_implementation():,Returns a string identifying the Python implementation.
209,python_version,Summarize Python: def python_version():,Returns the Python version as string 'major.minor.patchlevel'.
210,python_version_tuple,Summarize Python: def python_version_tuple():,"Returns the Python version as tuple (major, minor, patchlevel) of strings."
211,python_branch,Summarize Python: def python_branch():,Returns a string identifying the Python implementation branch.
212,python_revision,Summarize Python: def python_revision():,Returns a string identifying the Python implementation revision.
213,python_build,Summarize Python: def python_build():,"Returns a tuple (buildno, builddate) stating the Python build number and date as strings."
214,python_compiler,Summarize Python: def python_compiler():,Returns a string identifying the compiler used for compiling Python.
215,platform,"Summarize Python: def platform(aliased=False, terse=False):",Returns a single string identifying the underlying platform with as much useful information as possible (but no more :).
216,freedesktop_os_release,Summarize Python: def freedesktop_os_release():,Return operation system identification from freedesktop.org os-release.
217,from_subprocess,Summarize Python: def from_subprocess():,Fall back to `uname -p`.
218,register,"Summarize Python: def register(name, klass, instance=None, *, preferred=False):",Register a browser connector.
219,get,Summarize Python: def get(using=None):,Return a browser launcher instance appropriate for the environment.
220,open,"Summarize Python: def open(url, new=0, autoraise=True):",Display url using the default browser.
221,open_new,Summarize Python: def open_new(url):,Open url in a new window of the default browser.
222,open_new_tab,Summarize Python: def open_new_tab(url):,"Open url in a new page (""tab"") of the default browser."
223,glob,"Summarize Python: def glob(pathname, *, root_dir=None, dir_fd=None, recursive=False, include_hidden=False):",Return a list of paths matching a pathname pattern.
224,iglob,"Summarize Python: def iglob(pathname, *, root_dir=None, dir_fd=None, recursive=False, include_hidden=False):",Return an iterator which yields the paths matching a pathname pattern.
225,escape,Summarize Python: def escape(pathname):,Escape all special characters.
226,what,"Summarize Python: def what(file, h=None):",Return the type of image contained in a file or byte stream.
227,test_jpeg,"Summarize Python: def test_jpeg(h, f):",Test for JPEG data with JFIF or Exif markers; and raw JPEG.
228,test_png,"Summarize Python: def test_png(h, f):",Verify if the image is a PNG.
229,test_gif,"Summarize Python: def test_gif(h, f):",Verify if the image is a GIF ('87 or '89 variants).
230,test_tiff,"Summarize Python: def test_tiff(h, f):",Verify if the image is a TIFF (can be in Motorola or Intel byte order).
231,test_rgb,"Summarize Python: def test_rgb(h, f):",test for the SGI image library.
232,test_pbm,"Summarize Python: def test_pbm(h, f):",Verify if the image is a PBM (portable bitmap).
233,test_pgm,"Summarize Python: def test_pgm(h, f):",Verify if the image is a PGM (portable graymap).
234,test_ppm,"Summarize Python: def test_ppm(h, f):",Verify if the image is a PPM (portable pixmap).
235,test_rast,"Summarize Python: def test_rast(h, f):",test for the Sun raster file.
236,test_xbm,"Summarize Python: def test_xbm(h, f):",Verify if the image is a X bitmap (X10 or X11).
237,test_bmp,"Summarize Python: def test_bmp(h, f):",Verify if the image is a BMP file.
238,test_webp,"Summarize Python: def test_webp(h, f):",Verify if the image is a WebP.
239,test_exr,"Summarize Python: def test_exr(h, f):",verify is the image ia a OpenEXR fileOpenEXR.
240,sniff,"Summarize Python: def sniff(self, sample, delimiters=None):",Returns a dialect (or None) corresponding to the sample.
241,recursive_repr,Summarize Python: def recursive_repr(fillvalue='...'):,Decorator to make a repr function return fillvalue for a recursive call.
242,readmodule,"Summarize Python: def readmodule(module, path=None):",Return Class objects for the top-level classes in module.
243,readmodule_ex,"Summarize Python: def readmodule_ex(module, path=None):",Return a dictionary with all functions and classes in module.
244,user,"Summarize Python: def user(self, user):","Send user name, return response."
245,pass_,"Summarize Python: def pass_(self, pswd):","Send password, return response."
246,stat,Summarize Python: def stat(self):,Get mailbox status.
247,list,"Summarize Python: def list(self, which=None):","Request listing, return result."
248,retr,"Summarize Python: def retr(self, which):",Retrieve whole message number 'which'.
249,dele,"Summarize Python: def dele(self, which):",Delete message number 'which'.
250,noop,Summarize Python: def noop(self):,Does nothing.
251,rset,Summarize Python: def rset(self):,Unmark all messages marked for deletion.
252,quit,Summarize Python: def quit(self):,"Signoff: commit changes on server, unlock mailbox, close connection."
253,close,Summarize Python: def close(self):,Close the connection without assuming anything about it.
254,rpop,"Summarize Python: def rpop(self, user):",Not sure what this does.
255,top,"Summarize Python: def top(self, which, howmuch):",Retrieve message header of message number 'which' and first 'howmuch' lines of message body.
256,uidl,"Summarize Python: def uidl(self, which=None):",Return message digest (unique id) list.
257,utf8,Summarize Python: def utf8(self):,Try to enter UTF-8 mode (see RFC 6856). Returns server response.
258,capa,Summarize Python: def capa(self):,"Return server capabilities (RFC 2449) as a dictionary >>> c=poplib.POP3('localhost') >>> c.capa() {'IMPLEMENTATION': ['Cyrus', 'POP3', 'server', 'v2.2.12'],  'TOP': [], 'LOGIN-DELAY': ['0'], 'AUTH-RESP-CODE': [],  'EXPIRE': ['NEVER'], 'USER': [], 'STLS': [], 'PIPELINING': [],  'UIDL': [], 'RESP-CODES': []} >>>."
259,stls,"Summarize Python: def stls(self, context=None):",Start a TLS session on the active connection as specified in RFC 2595.
260,stls,"Summarize Python: def stls(self, context=None):",The method unconditionally raises an exception since the STLS command doesn't make any sense on an already established SSL/TLS session.
261,isleap,Summarize Python: def isleap(year):,"Return True for leap years, False for non-leap years."
262,leapdays,"Summarize Python: def leapdays(y1, y2):","Return number of leap years in range [y1, y2). Assume y1 <= y2."
263,weekday,"Summarize Python: def weekday(year, month, day):","Return weekday (0-6 ~ Mon-Sun) for year, month (1-12), day (1-31)."
264,monthrange,"Summarize Python: def monthrange(year, month):","Return weekday (0-6 ~ Mon-Sun) and number of days (28-31) for year, month."
265,format,"Summarize Python: def format(cols, colwidth=_colwidth, spacing=_spacing):",Prints multi-column formatting for year calendars.
266,formatstring,"Summarize Python: def formatstring(cols, colwidth=_colwidth, spacing=_spacing):","Returns a string formatted from n strings, centered within n columns."
267,timegm,Summarize Python: def timegm(tuple):,Unrelated but handy function to calculate Unix timestamp from GMT.
268,iterweekdays,Summarize Python: def iterweekdays(self):,Return an iterator for one week of weekday numbers starting with the configured first one.
269,itermonthdates,"Summarize Python: def itermonthdates(self, year, month):","Return an iterator for one month. The iterator will yield datetime.date values and will always iterate through complete weeks, so it will yield dates outside the specified month."
270,itermonthdays,"Summarize Python: def itermonthdays(self, year, month):","Like itermonthdates(), but will yield day numbers. For days outside the specified month the day number is 0."
271,itermonthdays2,"Summarize Python: def itermonthdays2(self, year, month):","Like itermonthdates(), but will yield (day number, weekday number) tuples. For days outside the specified month the day number is 0."
272,itermonthdays3,"Summarize Python: def itermonthdays3(self, year, month):","Like itermonthdates(), but will yield (year, month, day) tuples.  Can be used for dates outside of datetime.date range."
273,itermonthdays4,"Summarize Python: def itermonthdays4(self, year, month):","Like itermonthdates(), but will yield (year, month, day, day_of_week) tuples. Can be used for dates outside of datetime.date range."
274,monthdatescalendar,"Summarize Python: def monthdatescalendar(self, year, month):",Return a matrix (list of lists) representing a month's calendar. Each row represents a week; week entries are datetime.date values.
275,monthdays2calendar,"Summarize Python: def monthdays2calendar(self, year, month):","Return a matrix representing a month's calendar. Each row represents a week; week entries are (day number, weekday number) tuples. Day numbers outside this month are zero."
276,monthdayscalendar,"Summarize Python: def monthdayscalendar(self, year, month):",Return a matrix representing a month's calendar. Each row represents a week; days outside this month are zero.
277,yeardatescalendar,"Summarize Python: def yeardatescalendar(self, year, width=3):",Return the data for the specified year ready for formatting.
278,yeardays2calendar,"Summarize Python: def yeardays2calendar(self, year, width=3):",Return the data for the specified year ready for formatting (similar to yeardatescalendar()).
279,yeardayscalendar,"Summarize Python: def yeardayscalendar(self, year, width=3):",Return the data for the specified year ready for formatting (similar to yeardatescalendar()). Entries in the week lists are day numbers. Day numbers outside this month are zero.
280,prweek,"Summarize Python: def prweek(self, theweek, width):",Print a single week (no newline).
281,formatday,"Summarize Python: def formatday(self, day, weekday, width):",Returns a formatted day.
282,formatweek,"Summarize Python: def formatweek(self, theweek, width):",Returns a single week in a string (no newline).
283,formatweekday,"Summarize Python: def formatweekday(self, day, width):",Returns a formatted week day name.
284,formatweekheader,"Summarize Python: def formatweekheader(self, width):",Return a header for a week.
285,formatmonthname,"Summarize Python: def formatmonthname(self, theyear, themonth, width, withyear=True):",Return a formatted month name.
286,prmonth,"Summarize Python: def prmonth(self, theyear, themonth, w=0, l=0):",Print a month's calendar.
287,formatmonth,"Summarize Python: def formatmonth(self, theyear, themonth, w=0, l=0):",Return a month's calendar string (multi-line).
288,formatyear,"Summarize Python: def formatyear(self, theyear, w=2, l=1, c=6, m=3):",Returns a year's calendar as a multi-line string.
289,pryear,"Summarize Python: def pryear(self, theyear, w=0, l=0, c=6, m=3):",Print a year's calendar.
290,formatday,"Summarize Python: def formatday(self, day, weekday):",Return a day as a table cell.
291,formatweek,"Summarize Python: def formatweek(self, theweek):",Return a complete week as a table row.
292,formatweekday,"Summarize Python: def formatweekday(self, day):",Return a weekday name as a table header.
293,formatweekheader,Summarize Python: def formatweekheader(self):,Return a header for a week as a table row.
294,formatmonthname,"Summarize Python: def formatmonthname(self, theyear, themonth, withyear=True):",Return a month name as a table row.
295,formatmonth,"Summarize Python: def formatmonth(self, theyear, themonth, withyear=True):",Return a formatted month as a table.
296,formatyear,"Summarize Python: def formatyear(self, theyear, width=3):",Return a formatted year as a table of tables.
297,formatyearpage,"Summarize Python: def formatyearpage(self, theyear, width=3, css='calendar.css', encoding=None):",Return a formatted year as a complete HTML page.
298,normcase,Summarize Python: def normcase(s):,Normalize case of pathname.  Has no effect under Posix.
299,isabs,Summarize Python: def isabs(s):,Test whether a path is absolute.
300,join,"Summarize Python: def join(a, *p):","Join two or more pathname components, inserting '/' as needed."
301,split,Summarize Python: def split(p):,"Split a pathname.  Returns tuple ""(head, tail)"" where ""tail"" is everything after the final slash.  Either part may be empty."
302,splitdrive,Summarize Python: def splitdrive(p):,"Split a pathname into drive and path. On Posix, drive is always empty."
